specie,variable,variation,converge,iterations,init_value,final_value,init_point,final_point
F + H2O,R HO,-25,False,0,0,0,"[0.720975, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R HO,-20,False,0,0,0,"[0.7690400000000001, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R HO,-15,False,0,0,0,"[0.817105, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R HO,-10,False,0,0,0,"[0.86517, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R HO,-5,False,0,0,0,"[0.913235, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R HO,0,False,0,0,0,"[0.9613, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R HO,5,False,0,0,0,"[1.009365, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R HO,10,False,0,0,0,"[1.05743, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R HO,15,False,0,0,0,"[1.1054950000000001, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R HO,20,False,0,0,0,"[1.1535600000000001, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R HO,25,False,0,0,0,"[1.201625, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R OH',-25,False,0,0,0,"[0.9613, 0.720975, 10, 104.2, 0, 0]",[]
F + H2O,R OH',-20,False,0,0,0,"[0.9613, 0.7690400000000001, 10, 104.2, 0, 0]",[]
F + H2O,R OH',-15,False,0,0,0,"[0.9613, 0.817105, 10, 104.2, 0, 0]",[]
F + H2O,R OH',-10,False,0,0,0,"[0.9613, 0.86517, 10, 104.2, 0, 0]",[]
F + H2O,R OH',-5,False,0,0,0,"[0.9613, 0.913235, 10, 104.2, 0, 0]",[]
F + H2O,R OH',0,False,0,0,0,"[0.9613, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,R OH',5,False,0,0,0,"[0.9613, 1.009365, 10, 104.2, 0, 0]",[]
F + H2O,R OH',10,False,0,0,0,"[0.9613, 1.05743, 10, 104.2, 0, 0]",[]
F + H2O,R OH',15,False,0,0,0,"[0.9613, 1.1054950000000001, 10, 104.2, 0, 0]",[]
F + H2O,R OH',20,False,0,0,0,"[0.9613, 1.1535600000000001, 10, 104.2, 0, 0]",[]
F + H2O,R OH',25,False,0,0,0,"[0.9613, 1.201625, 10, 104.2, 0, 0]",[]
F + H2O,θ HOH',-25,False,0,0,0,"[0.9613, 0.9613, 10, 78.15, 0, 0]",[]
F + H2O,θ HOH',-20,False,0,0,0,"[0.9613, 0.9613, 10, 83.36, 0, 0]",[]
F + H2O,θ HOH',-15,False,0,0,0,"[0.9613, 0.9613, 10, 88.57, 0, 0]",[]
F + H2O,θ HOH',-10,False,0,0,0,"[0.9613, 0.9613, 10, 93.78, 0, 0]",[]
F + H2O,θ HOH',-5,False,0,0,0,"[0.9613, 0.9613, 10, 98.99000000000001, 0, 0]",[]
F + H2O,θ HOH',0,False,0,0,0,"[0.9613, 0.9613, 10, 104.2, 0, 0]",[]
F + H2O,θ HOH',5,False,0,0,0,"[0.9613, 0.9613, 10, 109.41, 0, 0]",[]
F + H2O,θ HOH',10,False,0,0,0,"[0.9613, 0.9613, 10, 114.62, 0, 0]",[]
F + H2O,θ HOH',15,False,0,0,0,"[0.9613, 0.9613, 10, 119.83000000000001, 0, 0]",[]
F + H2O,θ HOH',20,False,0,0,0,"[0.9613, 0.9613, 10, 125.04, 0, 0]",[]
F + H2O,θ HOH',25,False,0,0,0,"[0.9613, 0.9613, 10, 130.25, 0, 0]",[]
R-vdW (F--H2O),R HO,-25,False,0,0,0,"[0.7251, 0.9668, 2.2992, 105.07, 70.54, -83.05]",[]
R-vdW (F--H2O),R HO,-20,False,0,0,0,"[0.77344, 0.9668, 2.2992, 105.07, 70.54, -83.05]",[]
R-vdW (F--H2O),R HO,-15,False,0,0,0,"[0.82178, 0.9668, 2.2992, 105.07, 70.54, -83.05]",[]
