specie,variable,variation,converge,iterations,gradient,init_value,final_value,init_point,final_point
F + H2O,random,-1,False,50,nan,14.893251346909985,nan,"[1.0792063375634566, 0.8615022422447499, 20, 97.10900987947478, 300, 300]","[nan, nan, nan, nan, nan, nan]"
F + H2O,random,-1,False,1,0.0e+00,20.79268510917891,115.302739153,"[1.1757194286443196, 1.0489179255507701, 20, 97.61731082711763, 300, 300]","[0.11928770244074238, 0.8833013621809173, 20.53400000000001, 98.36814842141327, 300.07846153846157, 300.095]"
F + H2O,random,-1,False,1,0.0e+00,88.30026288282757,115.302739153,"[0.7069074293785897, 1.1200813779380765, 20, 94.286675581469, 300, 300]","[0.8762673782114626, 0.6604536059703212, 18.849999999999984, 104.12821448785873, 300.3500000000001, 300.07500000000005]"
F + H2O,random,-1,False,50,nan,8.356943341445785,nan,"[0.8772269628730706, 0.9278402263454687, 20, 94.2000203080971, 300, 300]","[nan, nan, nan, nan, nan, nan]"
F + H2O,random,-1,False,50,nan,34.57263809710722,nan,"[1.2531150363950134, 1.0805499985749232, 20, 105.17731018245411, 300, 300]","[nan, nan, nan, nan, nan, nan]"
F + H2O,random,-1,False,1,0.0e+00,41.69643087701804,115.302739153,"[1.2305035826870516, 1.1621117172975644, 20, 109.56232581041535, 300, 300]","[-3.8184918256009595, 0.22981061897210198, 19.21499999999999, 95.36622151916885, 300.12, 300.0578947368421]"
F + H2O,random,-1,False,50,nan,9.536532031369369,nan,"[0.9192631803691267, 1.0842533138295052, 20, 111.9191753567854, 300, 300]","[nan, nan, nan, nan, nan, nan]"
F + H2O,random,-1,False,1,0.0e+00,18.11513973921944,115.302739153,"[1.1468534252154452, 1.0586442133908491, 20, 101.66733901376985, 300, 300]","[0.4424696101493496, 0.8589348289080687, 20.269918699186995, 98.67606942729638, 300.1, 300.03809523809525]"
F + H2O,random,-1,False,50,nan,14.52465145237201,nan,"[0.8344412973796715, 1.0091233025947524, 20, 107.95793817018863, 300, 300]","[nan, nan, nan, nan, nan, nan]"
F + H2O,random,-1,False,50,nan,3.620757125943996,nan,"[1.0018974719999898, 1.029211716868513, 20, 107.12019747252008, 300, 300]","[nan, nan, nan, nan, nan, nan]"
F + H2O,random,-1,False,50,nan,15.407848437874877,nan,"[0.8433480964189111, 1.0451311085488664, 20, 98.31535048110494, 300, 300]","[nan, nan, nan, nan, nan, nan]"
F + H2O,random,-1,False,1,0.0e+00,13.783210895458744,115.302739153,"[1.1360292197808917, 1.005990319807962, 20, 104.74651409495993, 300, 300]","[0.5148548533054421, 0.9346311389628099, 20.8557142857143, 99.56438671106, 299.5624999999999, 300.1280701754386]"
F + H2O,random,-1,False,1,0.0e+00,30.531578237404815,115.302739153,"[1.1122309297421955, 1.1901020764628916, 20, 109.93899139276289, 300, 300]","[0.6614567121764099, -0.36629379263010664, 17.999999999999975, 96.38996842519211, 300.09148936170214, 300.11136363636365]"
F + H2O,random,-1,False,1,0.0e+00,38.49395513153785,115.302739153,"[1.2508409192010082, 0.857219690076611, 20, 112.04466047505318, 300, 300]","[117.93273780445811, 0.9608608379362101, 20.818750000000012, 98.17198186519137, 300.10769230769233, 300.01875]"
F + H2O,random,-1,False,1,0.0e+00,16.386279159414574,115.302739153,"[1.129742763598523, 0.8844980415270239, 20, 99.66496798506442, 300, 300]","[0.5768808980208108, 0.9697973046404592, 17.35555555555552, 101.81014072611254, 300.14210526315793, 300.12]"
F + H2O,random,-1,False,50,nan,9.033614278856566,nan,"[0.855268807868671, 0.9581646714790111, 20, 101.2815300978687, 300, 300]","[nan, nan, nan, nan, nan, nan]"
F + H2O,random,-1,False,1,0.0e+00,39.643706494621696,115.302739153,"[1.1785789742811386, 0.8070096520954783, 20, 97.63104093317975, 300, 300]","[0.059957478365905814, 0.9412173906152542, 18.149999999999967, 101.78606612841634, 300.015, 300.12222222222226]"
F + H2O,random,-1,False,50,nan,89.28392584395634,nan,"[0.7331791936110711, 0.7696385858216748, 20, 114.05566685814674, 300, 300]","[nan, nan, nan, nan, nan, nan]"
