specie,variable,variation,converge,iterations,gradient,init_value,final_value,init_point,final_point
F + H2O,random,-1,False,1,0,61.34181566511757,115.302739153,"[1.1173686151033408, 0.7436320029804306, 20, 97.1019652172085, 300, 300]","[0.6587350411679269, 0.9024239107668562, 20.240816326530616, 104.0334295666678, 300.1029411764706, 300.0571428571429]"
F + H2O,random,-1,False,1,0,16.25803689047256,115.302739153,"[1.121730910608361, 0.8805531256943093, 20, 107.06828690704226, 300, 300]","[0.5875438051833218, 0.9666734205686922, 20.27355371900827, 101.86039726831665, 299.99756097560976, 300.1018018018018]"
F + H2O,random,-1,False,1,0,28.597650444811837,115.302739153,"[1.2475604421750384, 0.9428120185194562, 20, 108.35700067874143, 300, 300]","[-18.660307653668593, 0.9693905825104817, 23.88571428571434, 97.78057173072426, 299.9, 300.0657142857143]"
F + H2O,random,-1,False,1,0,77.6380136825594,115.302739153,"[0.7296855644432543, 1.181970201897989, 20, 100.49765968128922, 300, 300]","[0.8922054367787758, -0.06773528549209096, 20.19130434782609, 102.89785385568818, 300.03000000000003, 299.97499999999997]"
F + H2O,random,-1,True,13,0,12.553789363871925,-0.0020699877962283954,"[1.028739275772575, 0.8484188441868872, 20, 103.30350035275166, 300, 300]","[0.9609, 0.9609, 20.0, 104.147, 300.0, 290.0]"
F + H2O,random,-1,False,1,0,52.17225194308817,115.302739153,"[0.7971998386029807, 1.2450442808861697, 20, 105.39089238087662, 300, 300]","[0.9349522121690886, -11.201974093849184, 18.8222222222222, 100.2870122214189, 299.92727272727274, 299.9555555555555]"
F + H2O,random,-1,True,12,0,91.84261951780456,-0.002125306485272895,"[0.9162104684820829, 0.6920855217858476, 20, 95.61143921939309, 300, 300]","[0.9609, 0.9609, 10.0, 104.147, 380.0, 300.0]"
F + H2O,random,-1,True,10,0,100.54312118362827,-0.002283885219912674,"[0.8511950949899559, 0.6862457901371644, 20, 113.46990340544187, 300, 300]","[0.9609, 0.9609, 10.0, 104.147, 170.0, 350.0]"
F + H2O,random,-1,False,5,0,27.674146143156392,115.302739153,"[0.9184572340948337, 0.7919636739246185, 20, 102.07258899707503, 300, 300]","[0.9614219908803835, 0.9605431295067027, -27.71053693994181, 104.15087922389914, nan, nan]"
F + H2O,random,-1,False,1,0,27.99673564234811,115.302739153,"[1.2378193115376017, 0.914125095798237, 20, 105.77310729689283, 300, 300]","[-5.4530968741060475, 0.9723740381812612, 20.303448275862074, 98.72101434142876, 299.9583333333333, 299.96190476190475]"
F + H2O,random,-1,False,8,0,48.052971883969185,115.302739153,"[1.0369897637498662, 0.7524982989155684, 20, 112.77565954046685, 300, 300]","[0.9610081929963622, 0.9610379814979672, 24.4690651867808, 104.15372129106156, 209.89361416207677, nan]"
F + H2O,random,-1,True,13,0,27.056711762657283,-0.0020700217403120105,"[1.033236021884907, 0.797832354591539, 20, 109.52816087201306, 300, 300]","[0.9609, 0.9609, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,False,1,0,115.302739153,115.302739153,"[0.7553775146490105, 0.6810919067207577, 20, 107.64015710754698, 300, 300]","[0.7553775146490105, 0.6810919067207577, nan, nan, nan, nan]"
F + H2O,random,-1,False,1,0,115.302739153,115.302739153,"[0.6947828756151291, 0.7249706927481407, 20, 102.61092663577834, 300, 300]","[0.6947828756151291, 0.7249706927481407, nan, nan, nan, nan]"
F + H2O,random,-1,False,7,0,75.61378317625226,115.302739153,"[0.7246783841394175, 0.8285630147952077, 20, 104.84957700741415, 300, 300]","[0.9608862026644328, 0.960949253948034, 22.98037724716222, 104.14368352887728, 299.7765571504594, nan]"
F + H2O,random,-1,False,2,0,104.9192601094781,115.302739153,"[1.1576922657367752, 0.6911511174399017, 20, 104.61271530208977, 300, 300]","[262.1713789506462, 0.9640180999616808, 20.513095238095246, 99.14433524615494, 300.17948717948724, 300.05627705627705]"
F + H2O,random,-1,True,10,0,81.20289335127552,-0.002069980297635984,"[0.6991595921520921, 0.9315027988082021, 20, 112.28723020267893, 300, 300]","[0.9609, 0.9609, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,False,2,0,21.80317120403189,115.302739153,"[0.9724587682395287, 0.8105316678317777, 20, 95.78665537888384, 300, 300]","[0.9583753952397596, 0.9651901240454769, 24.68835197934602, 104.46091763484128, 300.1225317185698, nan]"
F + H2O,random,-1,False,10,0,72.29226791213875,115.302739153,"[1.0178542852936239, 0.713764987579458, 20, 99.77852213891829, 300, 300]","[0.9609722552835013, 0.9609700535327368, 23.950822621966143, 104.14876153258383, 301.020466642262, nan]"
F + H2O,random,-1,False,1,0,23.760608522639984,115.302739153,"[1.0535235847106763, 1.1961030870178897, 20, 99.12609370168865, 300, 300]","[0.8727787878144668, -0.3584633139891258, 19.489583333333325, 97.93677534333537, 300.1538461538462, 300.05172413793105]"
F + H2O,random,-1,True,11,0,0.8551428102118825,-0.002070025437926457,"[0.9664120200252622, 0.9253681086981453, 20, 105.66294788194209, 300, 300]","[0.9609, 0.9609, 10.0, 104.147, 220.0, 300.0]"
F + H2O,random,-1,True,12,0,12.625815644883554,-0.0020699917548707594,"[0.845364682989961, 0.9626213312456398, 20, 95.41359928812766, 300, 300]","[0.9609, 0.9609, 20.0, 104.147, 300.0, 300.0]"
