specie,variable,variation,converge,iterations,gradient,init_value,final_value,init_point,final_point
F + H2O,random,-1,True,5,2.0e-07,14.893251346909985,-0.002070040790873017,"[1.0792063375634566, 0.8615022422447499, 20, 97.10900987947478, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,20.79268510917891,115.302739153,"[1.1757194286443196, 1.0489179255507701, 20, 97.61731082711763, 300, 300]","[0.5540390291392028, 0.9198538161373631, 20.0, 111.60202739623885, 300.0, 300.0]"
F + H2O,random,-1,True,6,2.2e-07,88.30026288282757,-0.002070040791147815,"[0.7069074293785897, 1.1200813779380765, 20, 94.286675581469, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,4,1.6e-07,8.356943341445785,-0.002070040790697214,"[0.8772269628730706, 0.9278402263454687, 20, 94.2000203080971, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,False,2,0.0e+00,34.57263809710722,115.302739153,"[1.2531150363950134, 1.0805499985749232, 20, 105.17731018245411, 300, 300]","[-0.6551248629974513, 0.9134077853958238, 20.0, 81.73169278131132, 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,41.69643087701804,115.302739153,"[1.2305035826870516, 1.1621117172975644, 20, 109.56232581041535, 300, 300]","[-0.3701347665482595, 0.4712617440174699, 20.0, 116.1062246811845, 300.0, 300.0]"
F + H2O,random,-1,True,5,1.5e-06,9.536532031369369,-0.0020700407896662924,"[0.9192631803691267, 1.0842533138295052, 20, 111.9191753567854, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,7,9.3e-08,18.11513973921944,-0.0020700407910590603,"[1.1468534252154452, 1.0586442133908491, 20, 101.66733901376985, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,5,4.8e-08,14.52465145237201,-0.0020700407908952052,"[0.8344412973796715, 1.0091233025947524, 20, 107.95793817018863, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,4,2.9e-07,3.620757125943996,-0.0020700407909549443,"[1.0018974719999898, 1.029211716868513, 20, 107.12019747252008, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,5,2.9e-07,15.407848437874877,-0.002070040789708963,"[0.8433480964189111, 1.0451311085488664, 20, 98.31535048110494, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,6,1.6e-06,13.783210895458744,-0.0020700407898301475,"[1.1360292197808917, 1.005990319807962, 20, 104.74651409495993, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,30.531578237404815,115.302739153,"[1.1122309297421955, 1.1901020764628916, 20, 109.93899139276289, 300, 300]","[0.7805194942461798, 0.38856748429053556, 20.0, 109.08142714203926, 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,38.49395513153785,115.302739153,"[1.2508409192010082, 0.857219690076611, 20, 112.04466047505318, 300, 300]","[-1.3942466352659968, 0.9049464784106697, 20.0, 147.26489702399184, 300.0, 300.0]"
F + H2O,random,-1,True,6,3.1e-07,16.386279159414574,-0.0020700407902056487,"[1.129742763598523, 0.8844980415270239, 20, 99.66496798506442, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,4,4.5e-06,9.033614278856566,-0.002070040506582802,"[0.855268807868671, 0.9581646714790111, 20, 101.2815300978687, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,39.643706494621696,115.302739153,"[1.1785789742811386, 0.8070096520954783, 20, 97.63104093317975, 300, 300]","[0.4914304969860691, 0.8995750325399519, 20.0, 117.56836942292952, 300.0, 300.0]"
F + H2O,random,-1,True,5,2.3e-06,89.28392584395634,-0.0020700407897123766,"[0.7331791936110711, 0.7696385858216748, 20, 114.05566685814674, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,4,4.9e-07,4.257890822681902,-0.002070040790524825,"[1.0189463281485427, 1.0258568821294622, 20, 107.02957623792003, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,6,1.2e-07,16.449274707248815,-0.0020700407908644824,"[1.0800248120279408, 1.112839355562421, 20, 104.72204692521757, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,5,4.9e-08,17.095159571978847,-0.0020700407912024334,"[0.8845960236531833, 0.8343289073790672, 20, 112.23268126912006, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
F + H2O,random,-1,True,4,1.3e-07,3.780700502026244,-0.002070040791036872,"[0.8964925903414047, 0.971284684499217, 20, 98.20573462654627, 300, 300]","[np.float64(0.960957), np.float64(0.960957), 20.0, np.float64(104.147), 300.0, 300.0]"
