specie,variable,variation,converge,iterations,gradient,init_value,final_value,init_point,final_point
F + H2O,random,-1,True,6,1.3e-07,61.34181566511757,-0.002070040790898619,"[1.1173686151033408, 0.7436320029804306, 20, 97.1019652172085, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,True,6,2.0e-07,16.25803689047256,-0.0020700407907876753,"[1.121730910608361, 0.8805531256943093, 20, 107.06828690704226, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,28.597650444811837,115.302739153,"[1.2475604421750384, 0.9428120185194562, 20, 108.35700067874143, 300, 300]","[-0.9015983444598792, 0.9315400659672137, 20.0, 131.83764452733675, 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,77.6380136825594,115.302739153,"[0.7296855644432543, 1.181970201897989, 20, 100.49765968128922, 300, 300]","[0.8429913772632324, 0.44719499553976205, 20.0, 121.02468698618092, 300.0, 300.0]"
F + H2O,random,-1,True,4,9.1e-06,12.553789363871925,-0.002070040791093197,"[1.028739275772575, 0.8484188441868872, 20, 103.30350035275166, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,52.17225194308817,115.302739153,"[0.7971998386029807, 1.2450442808861697, 20, 105.39089238087662, 300, 300]","[0.8809258680315867, -0.9537633327046218, 20.0, 146.21562969940948, 300.0, 300.0]"
F + H2O,random,-1,True,6,7.3e-08,91.84261951780456,-0.002070040791023217,"[0.9162104684820829, 0.6920855217858476, 20, 95.61143921939309, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,True,6,3.5e-08,100.54312118362827,-0.002070040791362875,"[0.8511950949899559, 0.6862457901371644, 20, 113.46990340544187, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,True,5,1.5e-07,27.674146143156392,-0.0020700407913372726,"[0.9184572340948337, 0.7919636739246185, 20, 102.07258899707503, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,27.99673564234811,115.302739153,"[1.2378193115376017, 0.914125095798237, 20, 105.77310729689283, 300, 300]","[-0.4927018617648544, 0.9370788283272823, 20.0, 130.20099332217475, 300.0, 300.0]"
F + H2O,random,-1,True,5,1.4e-06,48.052971883969185,-0.002070040790697214,"[1.0369897637498662, 0.7524982989155684, 20, 112.77565954046685, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,True,5,2.5e-07,27.056711762657283,-0.0020700407907194027,"[1.033236021884907, 0.797832354591539, 20, 109.52816087201306, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,False,0,0.0e+00,115.302739153,115.302739153,"[0.7553775146490105, 0.6810919067207577, 20, 107.64015710754698, 300, 300]","[0.7553775146490105, 0.6810919067207577, 20.0, 107.64015710754698, 300.0, 300.0]"
F + H2O,random,-1,False,0,0.0e+00,115.302739153,115.302739153,"[0.6947828756151291, 0.7249706927481407, 20, 102.61092663577834, 300, 300]","[0.6947828756151291, 0.7249706927481407, 20.0, 102.61092663577834, 300.0, 300.0]"
F + H2O,random,-1,True,5,7.8e-06,75.61378317625226,-0.0020700407913389796,"[0.7246783841394175, 0.8285630147952077, 20, 104.84957700741415, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,104.9192601094781,115.302739153,"[1.1576922657367752, 0.6911511174399017, 20, 104.61271530208977, 300, 300]","[0.6198719672003401, 0.8132834961853945, 20.0, 116.52667070533408, 300.0, 300.0]"
F + H2O,random,-1,True,6,2.1e-08,81.20289335127552,-0.002070040790741591,"[0.6991595921520921, 0.9315027988082021, 20, 112.28723020267893, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,True,5,4.1e-07,21.80317120403189,-0.002070040791026631,"[0.9724587682395287, 0.8105316678317777, 20, 95.78665537888384, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,True,6,3.0e-08,72.29226791213875,-0.002070040790852535,"[1.0178542852936239, 0.713764987579458, 20, 99.77852213891829, 300, 300]","[0.960957, 0.960957, 20.0, 104.147, 300.0, 300.0]"
F + H2O,random,-1,False,1,0.0e+00,23.760608522639984,115.302739153,"[1.0535235847106763, 1.1961030870178897, 20, 99.12609370168865, 300, 300]","[0.9100193076666439, 0.3803634542426829, 20.0, 113.4529473264898, 300.0, 300.0]"
