specie,variable,variation,converge,iterations,gradient,init_value,final_value,init_point,final_point
F + H2O,R HO,25,True,6,3.2e-08,64.41527705493799,-0.0020700407909225145,"[0.720675, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R HO,20,True,5,2.0e-07,36.06148619640574,-0.0020700407908934987,"[0.76872, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R HO,15,True,5,6.7e-08,17.847907706411632,-0.002070040791071008,"[0.816765, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R HO,10,True,4,1.3e-06,7.020361753942552,-0.002070040789543401,"[0.86481, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R HO,5,True,4,3.6e-08,1.5614805760078325,-0.0020700407907569525,"[0.912855, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',25,True,5,2.0e-07,8.695474791272522,-0.0020700407908576554,"[0.9609, 0.9609, 20, 130.184625, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R HO,5,True,4,6.9e-08,1.2465143046020797,-0.002070040790937876,"[1.008945, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R HO,10,True,5,6.2e-08,4.5040003904391686,-0.0020700407909037396,"[1.0569899999999999, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R HO,15,True,6,4.0e-08,9.170539723078813,-0.002070040790490688,"[1.105035, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R HO,20,True,7,3.1e-08,14.795972984546653,-0.002070040790907153,"[1.15308, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R HO,25,False,1,0.0e+00,21.041385417407866,115.302739153,"[1.201125, 0.9609, 20, 104.1477, 300, 300]","[0.2988618958116791, 0.9511643325577246, 20.0, 115.71926062611662, 300.0, 300.0]"
F + H2O,R OH',25,True,6,1.5e-08,64.41527705682458,-0.00207004079112392,"[0.9609, 0.720675, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R OH',20,True,5,4.0e-07,36.06148619909335,-0.002070040788857258,"[0.9609, 0.76872, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R OH',15,True,5,1.8e-08,17.847907708929668,-0.0020700407910522333,"[0.9609, 0.816765, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R OH',10,True,4,1.3e-06,7.020361755814706,-0.0020700407900844644,"[0.9609, 0.86481, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R OH',5,True,4,2.8e-08,1.5614805769947535,-0.002070040791267293,"[0.9609, 0.912855, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R OH',0,True,2,1.8e-08,-0.0020660621758435277,-0.002070040791246811,"[0.9609, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R OH',5,True,4,1.4e-07,1.2465143035966737,-0.002070040791004442,"[0.9609, 1.008945, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R OH',10,True,5,2.7e-08,4.504000388460811,-0.002070040791217795,"[0.9609, 1.0569899999999999, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R OH',15,True,6,6.4e-08,9.170539720180926,-0.002070040791180245,"[0.9609, 1.105035, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R OH',20,True,7,3.6e-08,14.795972980775183,-0.002070040791081249,"[0.9609, 1.15308, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,R OH',25,False,1,0.0e+00,21.04138541277218,115.302739153,"[0.9609, 1.201125, 20, 104.1477, 300, 300]","[0.951222204296366, 0.29946537911184934, 20.0, 115.48324738526483, 300.0, 300.0]"
F + H2O,θ HOH',25,True,4,3.9e-06,11.953030215183016,-0.0020700405540205456,"[0.9609, 0.9609, 20, 78.110775, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',20,True,4,1.7e-06,7.477377729135802,-0.0020700407502847558,"[0.9609, 0.9609, 20, 83.31816, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',15,True,4,3.6e-07,4.106293465623401,-0.0020700407892873776,"[0.9609, 0.9609, 20, 88.525545, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',10,True,3,3.3e-06,1.7778261701498013,-0.0020700407558643615,"[0.9609, 0.9609, 20, 93.73293, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',5,True,3,2.1e-06,0.4308711787515002,-0.0020700407863977256,"[0.9609, 0.9609, 20, 98.940315, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',0,True,2,1.8e-08,-0.0020660621758435277,-0.002070040791246811,"[0.9609, 0.9609, 20, 104.1477, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',5,True,3,5.8e-06,0.40396912034981636,-0.002070040790454845,"[0.9609, 0.9609, 20, 109.355085, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',10,True,4,6.5e-07,1.5675717677430505,-0.002070040785107367,"[0.9609, 0.9609, 20, 114.56247, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',15,True,4,1.2e-07,3.4017117736261704,-0.0020700407911717106,"[0.9609, 0.9609, 20, 119.769855, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',20,True,5,5.9e-08,5.812426883380289,-0.002070040790948117,"[0.9609, 0.9609, 20, 124.97724, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
F + H2O,θ HOH',25,True,5,2.0e-07,8.695474791272522,-0.0020700407908576554,"[0.9609, 0.9609, 20, 130.184625, 300, 300]","[0.9609578, 0.9609578, 20.0, 104.147, 300.0, 300.0]"
